"type","genre","total_titles","pct_of_type","rank_num"
"Movie","International Movies","2752","20.86","1"
"Movie","Dramas","2427","18.40","2"
"Movie","Comedies","1674","12.69","3"
"Movie","Documentaries","869","6.59","4"
"Movie","Action & Adventure","859","6.51","5"
"Movie","Independent Movies","756","5.73","6"
"Movie","Children & Family Movies","641","4.86","7"
"Movie","Romantic Movies","616","4.67","8"
"Movie","Thrillers","577","4.37","9"
"Movie","Music & Musicals","375","2.84","10"
"TV Show","International TV Shows","1351","22.03","1"
"TV Show","TV Dramas","763","12.44","2"
"TV Show","TV Comedies","581","9.47","3"
"TV Show","Crime TV Shows","470","7.66","4"
"TV Show","Kids' TV","451","7.35","5"
"TV Show","Docuseries","395","6.44","6"
"TV Show","Romantic TV Shows","370","6.03","7"
"TV Show","Reality TV","255","4.16","8"
"TV Show","British TV Shows","253","4.13","9"
"TV Show","Anime Series","176","2.87","10"
